image_path,steering_angle
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-38_693.png,0.0017173864158639865
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-40_902.png,0.001092484608320834
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-45_820.png,0.12
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-48_237.png,0.08744441462570883
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-53_164.png,-0.08025053865728989
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-55_844.png,-0.10191740540996748
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-02-58_346.png,-0.014069876698688422
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-00_823.png,-0.08404015877593658
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-06_029.png,-0.12
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-08_446.png,-0.010999855832729482
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-08_494.png,-0.009899870249456533
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-13_684.png,0.000417229812834815
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-16_166.png,1.7643233837161962e-06
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-21_903.png,0.0161589499900953
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-24_194.png,-0.028747669742200714
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-26_663.png,-0.12
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-29_318.png,-0.12
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-31_923.png,-0.022448790452690832
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-34_298.png,-0.08949085149205935
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-36_583.png,-0.00717508996815528
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-39_182.png,-9.056551129431517e-08
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-44_488.png,-0.03815586076308931
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-47_255.png,-0.005869743838570247
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-49_720.png,-0.05054065972053863
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-57_042.png,0.0004781129642186176
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-03-59_612.png,0.004958759490643744
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-02_109.png,0.0002164542430170459
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-04_516.png,-0.0018613889561595424
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-07_326.png,1.9721696130578922e-08
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-09_730.png,0.008447651248808061
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-12_007.png,-0.007983690260450487
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-14_306.png,0.00033017358876698385
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-14_369.png,0.0002674406069012569
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-16_559.png,0.0008470015980546425
C:\Users\anton\Desktop\Dataset\dataset_images\2025-06-18_01-04-21_183.png,-0.10557162122813736
